Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	AuN	L50	L90	# N's per 100 kbp	# spades_version
DRR147067	384	117	68	60	42	27	5171947	5077035	4974602	4913552	4635754	4117711	178	434806	5117431	50.54	139988	27799	161959.7	12	41	0.00	SPAdes v3.13.0
DRR147069	421	133	71	57	42	28	5244736	5145541	5007021	4908727	4694786	4204214	193	434985	5185167	50.46	136153	27798	163054.4	12	41	0.00	SPAdes v3.13.0
DRR147072	375	121	64	55	41	27	5176216	5084165	4953631	4893458	4701546	4211999	183	434806	5124852	50.54	149319	31262	170096.0	11	38	0.00	SPAdes v3.13.0
DRR147075	404	130	68	54	42	27	5242511	5146458	5013344	4911345	4726882	4209562	190	434985	5186337	50.46	136153	28453	168249.0	12	40	0.00	SPAdes v3.13.0
DRR147079	496	143	78	65	42	28	5435700	5314294	5173755	5087741	4757459	4266476	215	435066	5362735	50.35	134860	20415	163043.1	12	46	0.00	SPAdes v3.13.0
DRR149584	530	131	63	50	45	28	5504310	5370957	5199314	5104243	5041946	4400727	198	420006	5416442	50.30	145463	31039	185707.2	11	40	0.00	SPAdes v3.13.0
DRR149590	564	142	72	59	53	29	5512160	5370134	5201429	5101162	5020221	4074787	212	345167	5418654	50.29	135964	30996	151012.5	13	48	0.00	SPAdes v3.13.0
DRR149598	509	125	62	50	44	30	5705881	5577851	5422146	5338465	5247515	4741855	183	375482	5617379	50.08	145753	35947	187772.5	11	38	0.00	SPAdes v3.13.0
DRR149646	507	132	61	48	40	28	5506930	5375775	5206522	5108929	4996032	4552312	200	375998	5421642	50.30	168342	31039	192590.6	10	37	0.00	SPAdes v3.13.0
DRR149690	535	135	65	50	46	29	5568907	5430559	5259758	5147343	5079796	4435478	206	375632	5478547	50.21	146021	32678	179298.2	11	41	0.00	SPAdes v3.13.0
DRR149748	499	128	64	48	39	26	5473450	5341854	5185058	5064533	4928023	4489914	203	419719	5392682	50.25	237090	26324	199980.1	9	37	0.00	SPAdes v3.13.0
DRR149750	501	131	63	50	41	28	5475265	5342061	5174864	5078336	4941192	4475348	212	375453	5396956	50.25	182824	29314	185944.8	10	38	0.00	SPAdes v3.13.0
DRR149762	491	126	61	48	39	28	5474739	5350705	5182865	5084596	4946493	4561949	193	375453	5395672	50.25	188436	28998	189767.3	10	36	0.00	SPAdes v3.13.0
DRR149766	519	137	63	48	40	27	5476139	5344538	5163825	5049141	4921928	4475125	206	375453	5390886	50.25	182824	26324	190331.5	10	38	0.00	SPAdes v3.13.0
DRR149771	476	139	67	51	39	27	5438983	5318508	5159439	5044377	4838624	4438126	208	375453	5366824	50.26	188436	25123	191329.4	10	39	0.00	SPAdes v3.13.0
