ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
DRR147067	5498578	4433120	1065458	77237	0	0	0
DRR147069	5498578	4442135	1056443	77059	0	0	0
DRR147072	5498578	4439339	1059239	76940	0	0	0
DRR147075	5498578	4436391	1062187	76764	0	0	0
DRR147079	5498578	4443234	1055344	76510	0	0	0
DRR149584	5498578	5173429	325149	143	0	0	0
DRR149590	5498578	5140660	357918	142	0	0	0
DRR149598	5498578	5153825	344753	140	0	0	0
DRR149646	5498578	5172231	326347	141	0	0	0
DRR149690	5498578	5166495	332083	141	0	0	0
DRR149748	5498578	5093577	405001	994	0	0	0
DRR149750	5498578	5095396	403182	993	0	0	0
DRR149762	5498578	5094187	404391	992	0	0	0
DRR149766	5498578	5089376	409202	990	0	0	0
DRR149771	5498578	5042965	455613	980	0	0	0
Reference	5498578	5498578	0	0	0	0	0
