strain	no. of reads	total read length	coverage
DRR147067	1154412	335803419	61.0551670909091
DRR147069	1250569	364082817	66.1968758181818
DRR147072	1192823	346780345	63.0509718181818
DRR147075	1032502	299954394	54.5371625454545
DRR147079	1172467	341279434	62.0508061818182
DRR149584	1578898	434360604	78.9746552727273
DRR149590	1215805	332184254	60.3971370909091
DRR149598	1667239	469369737	85.3399521818182
DRR149646	1149391	315153220	57.3005854545455
DRR149690	1666376	409339981	74.4254510909091
DRR149748	2184094	484248071	88.0451038181818
DRR149750	2118817	500184269	90.9425943636364
DRR149762	2281519	504878084	91.7960152727273
DRR149766	1963696	427251590	77.6821072727273
DRR149771	1214382	284260483	51.6837241818182
